RepRapFirmware height map file v2, min error -0.036, max error 0.860, mean 0.259, deviation 0.254
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,295.00,20.00,315.00,-1.00,68.74,73.74,5,5
  0.118,  0.228,  0.261,  0.261,  0.353
 -0.002, -0.036, -0.014,  0.033,  0.060
  0.071,  0.055,  0.033,  0.066,  0.043
  0.398,  0.290,  0.266,  0.266,  0.220
  0.860,  0.740,  0.673,  0.649,  0.586
