Sample,X,Y,Z
216,0.016,0.008,0.934
217,-0.004,0.016,0.973
218,0.023,-0.012,1.035
219,0.000,0.000,0.984
220,0.016,-0.008,0.984
221,0.012,-0.027,0.957
222,0.000,0.016,0.938
223,0.004,0.000,1.012
224,0.012,-0.047,1.012
225,0.027,0.004,0.973
226,0.016,0.043,0.945
227,0.012,-0.027,0.969
228,0.004,-0.008,1.000
229,0.023,0.020,1.012
230,0.027,-0.004,1.000
231,0.012,-0.004,0.934
232,0.020,-0.020,0.957
233,0.000,-0.035,0.965
234,0.039,0.012,1.031
235,0.035,0.059,1.055
236,0.035,0.016,1.004
237,0.027,-0.023,1.004
238,0.016,-0.027,0.934
239,0.020,0.004,0.992
240,0.008,0.023,1.016
241,0.000,0.008,1.016
242,-0.008,-0.008,0.973
243,0.016,-0.023,0.918
244,-0.012,-0.051,0.941
245,-0.004,-0.043,0.969
246,0.020,0.031,1.020
247,0.027,0.020,1.035
248,0.027,0.004,0.973
249,0.016,0.000,0.965
250,0.004,-0.031,0.984
251,0.027,-0.035,1.031
252,0.039,0.043,0.980
253,0.031,0.039,1.012
254,-0.004,-0.031,0.965
255,0.031,-0.023,0.977
256,0.016,0.020,0.980
257,0.039,-0.004,1.074
258,0.004,0.000,0.996
259,0.000,-0.004,0.938
260,0.000,-0.031,0.922
261,0.027,-0.055,0.980
262,0.012,0.008,1.012
263,0.004,0.035,1.035
264,0.031,0.016,0.996
265,0.023,-0.023,0.980
266,0.008,-0.008,0.938
267,-0.020,-0.035,0.984
268,0.008,-0.031,1.004
269,0.027,0.008,0.984
270,0.020,0.027,0.973
271,0.016,-0.039,1.004
272,0.000,-0.043,0.953
273,0.035,0.004,0.984
274,0.031,0.039,1.023
275,0.035,0.008,1.020
276,0.027,0.020,0.988
277,0.012,-0.008,0.969
278,0.016,-0.023,1.000
279,0.004,-0.020,0.984
280,0.008,-0.004,0.984
281,0.000,-0.004,0.973
282,0.016,-0.035,1.000
283,-0.016,-0.035,0.969
284,0.000,-0.012,0.957
285,0.016,0.004,1.012
286,0.031,0.008,1.031
287,0.035,0.035,1.020
288,0.016,0.000,0.934
289,0.027,-0.051,0.977
290,0.004,-0.012,0.969
291,0.016,0.008,1.035
292,0.000,-0.031,0.973
293,-0.004,-0.020,0.953
294,0.008,0.016,0.957
295,0.027,-0.047,0.992
296,0.035,-0.023,1.000
297,0.027,0.039,0.996
298,0.027,0.039,1.016
299,0.031,0.012,1.008
300,0.020,0.000,0.980
301,-0.004,-0.027,0.938
302,-0.012,-0.016,0.938
303,-0.004,0.016,0.965
304,0.004,-0.012,0.992
305,0.008,-0.027,0.992
306,0.000,-0.008,0.934
307,0.012,-0.016,0.957
308,0.016,-0.012,1.008
309,0.035,0.008,1.023
310,0.043,0.016,1.031
311,0.031,0.016,1.012
312,0.012,0.016,0.957
313,0.020,-0.027,1.008
314,0.020,-0.016,0.977
315,0.035,0.012,1.035
316,-0.004,-0.012,0.969
317,0.012,-0.027,0.961
318,0.000,-0.020,0.977
319,0.012,-0.012,1.000
320,0.012,-0.008,0.996
321,0.023,0.008,1.004
322,0.004,0.043,0.969
323,0.016,0.012,1.008
324,-0.012,-0.027,0.973
325,0.008,-0.047,0.957
326,0.000,-0.004,0.926
327,0.023,0.016,0.980
